Windows	Linux	Mac	Function
Ctrl + Slash (/)	Ctrl + Slash (/)	Cmd + Slash (/)	Comment or uncomment out the current line.
Ctrl + K, then Ctrl + C	Ctrl + K, then Ctrl + C	Cmd + K, then Cmd + C	Create a comment on the current line.
Ctrl + K, then Ctrl + U	Ctrl + K, then Ctrl + U	Cmd + K, then Cmd + U	Remove a comment on the current line.
Alt + Shift + A	Ctrl + Shift + A	Option + Shift + A	Comment or uncomment out the currently selection region.
Function Definitions			
F12	F12	F12	Open the library definition of the current function.
Ctrl + K, then F12	Ctrl + K, then F12	Cmd + K, then F12	Open a new window containing the library definition of the current function.
Alt + F12	Ctrl + Shift + F10	Option + F12	Open a small window that shows the library definition of the current function.
Shift + F12	Shift + F12	Shift + F12	Find all the functions in the project that references the current function.
F2	F2	F2	Rename the current function.
Ctrl + F2	Ctrl + F2		Rename the current function and replace all instances of it in the file.
General Usage			
Ctrl + Shift + P	Ctrl + Shift + P	Cmd + Shift + P	Launch the Command Palette.
Ctrl + Comma (,)	Ctrl + Comma (,)	Cmd + Comma (,)	Open the user settings.
Ctrl + K, then Ctrl + S	Ctrl + K, then Ctrl + S	Cmd + K, then Cmd + S	Launch the Keyboard Shortcut interface.
Ctrl + Shift + N	Ctrl + Shift + N	Cmd + Shift + N	Open a new window.
Ctrl + Shift + W	Ctrl + W	Cmd + W	Close the window.
Ctrl + Left Mouse Click	Ctrl + Left Mouse Click		Open the link on the default browser.
Navigating VSCode			
Ctrl + T	Ctrl + T	Cmd + T	Quickly toggle all symbols.
Ctrl + P	Ctrl + P	Cmd + P	Go to a specific file.
Ctrl + Shift + O	Ctrl + Shift + O	Cmd + Shift + O	Navigate to a specific symbol.
F11	F11	Cmd + Ctrl + F	Enable full screen mode.
Ctrl + Shift + E	Ctrl + Shift + E	Cmd + Shift + E	Toggle Explorer/Editor Focus.
Ctrl + Shift + X	Ctrl + Shift + X	Cmd + Shift + X	Show/Search Visual Studio extensions.
Ctrl + Shift + D	Ctrl + Shift + D	Cmd + Shift + D	Show the Debug panel.
Ctrl + Equal (=)	Ctrl + Equal (=)	Cmd + Equal (=)	Zoom in the VSCode interface.
Ctrl + Minus (-)	Ctrl + Minus (-)	Cmd + Shift + Minus (-)	Zoom out the VSCode interface.
Ctrl + Shift + Left Square Bracket ([)		Option + Shift + Left Square Bracket ([)	Hide the current region of code.
Ctrl + Shift + Right Square Bracket (])		Option + Shift + Right Square Bracket (])	Unhide the current region of code.
Ctrl + K, then Ctrl + 0	Ctrl + K, then Ctrl + 0	Cmd + K, then Cmd + 0	Hide all regions in the currently open file.
Ctrl + K, then Ctrl + J	Ctrl + K, then Ctrl + J	Cmd + K, then Cmd + J	Unhide all regions in the currently open file.
Ctrl + K, then Ctrl + Left Square Bracket ([)		Cmd + K, then Cmd + Left Square Bracket ([)	Hide all subregions in the currently open file.
Ctrl + K, then Ctrl + Right Square Bracket (])		Cmd + K, then Cmd + Right Square Bracket (])	Unhide all subregions in the currently open file.
Terminal Mode			
Ctrl + Backtick (`)	Ctrl + Backtick (`)	Ctrl + Backtick (`)	Open the terminal.
Ctrl + Shift + Backtick (`)	Ctrl + Shift + Backtick (`)	Ctrl + Shift + Backtick (`)	Create a new terminal instance.
Ctrl + C	Ctrl + Shift + C	Cmd + C	Copy the highlighted section.
Ctrl + V	Ctrl + Shift + V		Paste into the active terminal session.
Ctrl + Up Arrow	Ctrl + Shift + Up Arrow	Cmd + Up Arrow	Scroll Up in the active terminal.
Ctrl + Shift + Down Arrow	Ctrl + Shift + Down Arrow	Cmd + Down Arrow	Navigate to the top.
Ctrl + Home	Ctrl + Home	Cmd + Home	Navigate to the top.
Ctrl + End	Ctrl + End	Cmd + End	Scroll to bottom.
Debug Mode			
F9	F9	F9	Create a breakpoint at the currently highlighted line.
F5	F5	F5	Run the code one step after the breakpoint.
F11	F11	F11	Go inside either the child function or loop.
Shift + F11	Shift + F11	Shift + F11	Go outside either the child function or loop.
F10	F10	F10	Skip the execution on the current breakpoint.
F8	F8	F8	Move the pointer to the next error in the file.
Shift + F8	Shift + F8	Shift + F8	Move the point to the previous error in the file.
Shift + F5	Shift + F5	Shift + F5	Stop the debugging session
